AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2021/12/01,00:00,18.0,0.0,84,343,0.8
2021/12/01,01:00,18.1,0.0,84,15,1.1
2021/12/01,02:00,18.0,0.0,86,354,2.9
2021/12/01,03:00,17.7,0.0,86,298,1.1
2021/12/01,04:00,17.8,0.0,85,307,0.1
2021/12/01,05:00,17.9,0.0,84,235,2.1
2021/12/01,06:00,18.0,0.0,84,333,0.1
2021/12/01,07:00,18.2,0.0,83,7,1.8
2021/12/01,08:00,18.4,0.0,80,308,1.5
2021/12/01,09:00,18.8,0.0,77,256,2.8
2021/12/01,10:00,19.0,0.0,76,292,2.9
2021/12/01,11:00,19.4,0.0,74,256,2.3
2021/12/01,12:00,20.9,0.0,66,287,4.3
2021/12/01,13:00,22.1,0.0,66,326,5.2
2021/12/01,14:00,22.4,0.0,65,249,4.0
2021/12/01,15:00,21.9,0.0,69,261,4.7
2021/12/01,16:00,20.5,0.0,78,257,4.5
2021/12/01,17:00,19.6,0.0,76,330,2.3
2021/12/01,18:00,19.7,0.0,76,334,1.9
2021/12/01,19:00,19.8,0.0,75,149,0.8
2021/12/01,20:00,19.7,0.0,74,158,1.7
2021/12/01,21:00,19.7,0.0,75,141,2.3
2021/12/01,22:00,19.4,0.0,75,152,1.5
2021/12/01,23:00,19.4,0.0,77,283,1.4
2021/12/02,00:00,19.1,0.0,80,2,2.0
2021/12/02,01:00,18.6,0.0,83,355,1.7
2021/12/02,02:00,18.1,0.0,85,20,2.0
2021/12/02,03:00,17.9,0.0,86,12,0.3
2021/12/02,04:00,17.6,0.0,88,4,1.9
2021/12/02,05:00,17.3,0.0,89,344,0.3
2021/12/02,06:00,17.3,0.0,88,341,1.8
2021/12/02,07:00,17.7,0.0,86,105,0.0
2021/12/02,08:00,18.3,0.0,80,152,0.5
2021/12/02,09:00,19.1,0.0,78,180,0.4
2021/12/02,10:00,19.9,0.0,73,238,0.6
2021/12/02,11:00,21.2,0.0,67,178,1.4
2021/12/02,12:00,22.7,0.0,62,259,5.3
2021/12/02,13:00,22.7,0.0,61,258,5.5
2021/12/02,14:00,23.2,0.0,64,260,6.1
2021/12/02,15:00,23.1,0.0,58,155,1.8
2021/12/02,16:00,24.3,0.0,57,201,2.8
2021/12/02,17:00,22.7,0.0,65,239,4.9
2021/12/02,18:00,21.8,0.0,69,222,1.9
2021/12/02,19:00,21.0,0.0,74,141,2.9
2021/12/02,20:00,19.9,0.0,76,154,3.0
2021/12/02,21:00,19.9,0.0,77,130,2.6
2021/12/02,22:00,19.6,0.0,78,34,1.3
2021/12/02,23:00,18.9,0.0,82,354,1.5
2021/12/03,00:00,18.5,0.0,83,340,1.3
2021/12/03,01:00,18.2,0.0,85,359,1.6
2021/12/03,02:00,17.9,0.0,85,302,0.7
2021/12/03,03:00,17.6,0.0,87,11,1.1
2021/12/03,04:00,17.2,0.0,87,28,0.0
2021/12/03,05:00,17.0,0.0,87,330,0.0
2021/12/03,06:00,17.2,0.0,88,47,0.0
2021/12/03,07:00,17.7,0.0,87,334,1.5
2021/12/03,08:00,18.5,0.0,83,330,1.8
2021/12/03,09:00,19.6,0.0,75,300,2.6
2021/12/03,10:00,21.0,0.0,73,309,3.4
2021/12/03,11:00,21.6,0.0,71,302,4.9
2021/12/03,12:00,22.6,0.0,66,254,5.1
2021/12/03,13:00,23.2,0.0,65,254,5.0
2021/12/03,14:00,23.9,0.0,63,264,7.0
2021/12/03,15:00,23.9,0.0,63,264,7.0
2021/12/03,16:00,23.5,0.0,63,225,4.3
2021/12/03,17:00,22.8,0.0,67,228,5.1
2021/12/03,18:00,21.6,0.0,70,225,3.3
2021/12/03,19:00,21.1,0.0,72,177,2.7
2021/12/03,20:00,20.7,0.0,73,153,1.3
2021/12/03,21:00,20.3,0.0,75,149,2.5
2021/12/03,22:00,19.9,0.0,76,265,0.0
2021/12/03,23:00,19.5,0.0,79,142,3.1
2021/12/04,00:00,19.1,0.0,80,118,1.0
2021/12/04,01:00,18.7,0.0,82,352,1.0
2021/12/04,02:00,18.2,0.0,84,42,0.1
2021/12/04,03:00,18.0,0.0,84,325,0.8
2021/12/04,04:00,17.4,0.0,87,49,0.0
2021/12/04,05:00,17.0,0.0,87,298,0.0
2021/12/04,06:00,17.1,0.0,88,340,0.5
2021/12/04,07:00,17.4,0.0,85,227,0.2
2021/12/04,08:00,18.4,0.0,82,318,2.5
2021/12/04,09:00,19.1,0.0,78,310,2.4
2021/12/04,10:00,20.2,0.0,75,315,4.1
2021/12/04,11:00,20.8,0.0,72,297,3.4
2021/12/04,12:00,21.3,0.0,68,278,4.1
2021/12/04,13:00,22.5,0.0,64,257,4.5
2021/12/04,14:00,23.5,0.0,61,246,5.8
2021/12/04,15:00,23.4,0.0,67,229,5.3
2021/12/04,16:00,22.9,0.0,66,229,3.6
