AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2023/01/01,00:00,20.9,0.0,80,226,2.5
2023/01/01,01:00,20.8,0.0,80,261,1.6
2023/01/01,02:00,20.8,0.0,81,241,1.9
2023/01/01,03:00,20.8,0.0,81,241,2.1
2023/01/01,04:00,20.8,0.0,83,243,1.3
2023/01/01,05:00,20.2,0.0,86,231,1.0
2023/01/01,06:00,19.8,0.0,89,237,1.6
2023/01/01,07:00,20.6,0.0,87,235,1.8
2023/01/01,08:00,21.0,0.0,85,238,1.9
2023/01/01,09:00,21.5,0.0,82,219,2.2
2023/01/01,10:00,22.1,0.0,79,218,2.1
2023/01/01,11:00,23.6,0.0,69,217,2.4
2023/01/01,12:00,22.9,0.0,77,234,2.7
2023/01/01,13:00,23.9,0.0,68,223,2.8
2023/01/01,14:00,25.4,0.0,64,214,2.4
2023/01/01,15:00,23.8,0.0,66,237,3.7
2023/01/01,16:00,23.0,0.0,70,230,2.8
2023/01/01,17:00,21.4,0.0,82,238,2.8
2023/01/01,18:00,21.1,0.0,82,238,2.0
2023/01/01,19:00,20.9,0.0,84,230,2.6
2023/01/01,20:00,20.6,0.0,86,228,3.0
2023/01/01,21:00,21.2,0.0,82,238,2.2
2023/01/01,22:00,21.0,0.0,82,86,0.0
2023/01/01,23:00,21.4,0.0,77,231,0.3
2023/01/02,00:00,20.0,0.0,85,231,1.4
2023/01/02,01:00,19.9,0.0,86,231,1.4
2023/01/02,02:00,19.6,0.0,88,242,1.3
2023/01/02,03:00,19.3,0.0,89,228,2.4
2023/01/02,04:00,19.0,0.0,90,217,0.9
2023/01/02,05:00,18.7,0.0,91,240,1.0
2023/01/02,06:00,18.7,0.0,92,212,1.0
2023/01/02,07:00,19.7,0.0,88,208,0.4
2023/01/02,08:00,22.0,0.0,76,211,0.6
2023/01/02,09:00,24.5,0.0,67,205,2.0
2023/01/02,10:00,25.8,0.0,57,230,2.0
2023/01/02,11:00,24.8,0.0,63,226,3.0
2023/01/02,12:00,25.3,0.0,61,235,3.0
2023/01/02,13:00,24.2,0.0,59,233,5.0
2023/01/02,14:00,24.7,0.0,63,231,4.3
2023/01/02,15:00,23.7,0.0,66,227,4.4
2023/01/02,16:00,21.6,0.0,73,233,4.2
2023/01/02,17:00,21.5,0.0,73,238,3.3
2023/01/02,18:00,20.6,0.0,78,246,3.3
2023/01/02,19:00,20.4,0.0,81,240,3.8
2023/01/02,20:00,19.8,0.0,85,252,2.2
2023/01/02,21:00,19.8,0.0,87,248,3.4
2023/01/02,22:00,19.5,0.0,88,240,2.4
2023/01/02,23:00,19.3,0.0,90,252,1.2
2023/01/03,00:00,19.2,0.0,91,227,2.7
2023/01/03,01:00,18.7,0.0,93,243,2.1
2023/01/03,02:00,19.0,0.0,91,237,1.5
2023/01/03,03:00,19.1,0.0,90,236,0.7
2023/01/03,04:00,19.0,0.0,91,211,2.2
2023/01/03,05:00,18.9,0.0,92,266,0.5
2023/01/03,06:00,19.1,0.0,90,193,0.8
2023/01/03,07:00,18.8,0.0,92,207,1.5
2023/01/03,08:00,18.6,0.0,93,211,2.2
2023/01/03,09:00,18.9,0.0,91,224,2.4
2023/01/03,10:00,19.8,0.0,85,213,1.9
2023/01/03,11:00,20.8,0.0,83,216,3.2
2023/01/03,12:00,21.7,0.0,74,215,2.1
2023/01/03,13:00,22.9,0.0,69,225,3.3
2023/01/03,14:00,22.9,0.0,72,227,3.8
2023/01/03,15:00,22.6,0.0,72,224,3.1
2023/01/03,16:00,21.1,0.0,77,213,2.3
2023/01/03,17:00,18.8,0.0,90,238,2.5
2023/01/03,18:00,18.7,0.0,90,236,2.6
2023/01/03,19:00,19.7,0.0,87,229,1.5
2023/01/03,20:00,19.6,0.0,84,233,2.4
2023/01/03,21:00,19.8,0.0,84,240,1.1
2023/01/03,22:00,19.5,0.0,86,231,1.9
2023/01/03,23:00,20.4,0.0,82,233,2.1
2023/01/04,00:00,19.8,0.0,85,245,1.0
2023/01/04,01:00,19.6,0.0,87,243,0.9
