AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2019/10/01,00:00,16.9,,87.5,179.2,1.4
2019/10/01,01:00,16.8,,87.8,192.9,1.4
2019/10/01,02:00,16.7,,88.1,197.2,1.5
2019/10/01,03:00,16.5,,89.5,199.8,0.8
2019/10/01,04:00,16.4,,90.9,180.2,1.2
2019/10/01,05:00,16.4,,91.4,201,1.1
2019/10/01,06:00,16.2,,92.6,182.5,1.9
2019/10/01,07:00,15.6,,96.6,182.2,2.0
2019/10/01,08:00,15.6,,98.1,193.7,1.7
2019/10/01,09:00,16.1,,96.6,203.8,0.8
2019/10/01,10:00,17.2,,92.6,209.4,0.3
2019/10/01,11:00,18.9,,83.1,286.4,0.9
2019/10/01,12:00,19.5,,77.16,194.4,1.0
2019/10/01,13:00,19.1,,77.04,170.8,1.5
2019/10/01,14:00,19.5,,75.51,177.4,1.8
2019/10/01,15:00,19.4,,76.53,185.6,1.5
2019/10/01,16:00,19.3,,77.41,173.9,1.8
2019/10/01,17:00,18.9,,79.74,181,2.2
2019/10/01,18:00,18.3,,82.4,182.3,1.2
2019/10/01,19:00,17.9,,83.7,171,1.1
2019/10/01,20:00,17.4,,86.3,185.7,1.5
2019/10/01,22:00,17.1,,88.7,205.3,1.1
2019/10/01,23:00,17.0,,88.7,218.6,0.8
2019/10/02,00:00,17.0,,88.7,222.2,0.6
2019/10/02,01:00,16.6,,91.1,196.9,1.2
2019/10/02,02:00,16.1,,94,202.5,1.4
2019/10/02,03:00,15.9,,95.2,196.1,0.5
2019/10/02,04:00,15.8,,96.1,213.4,0.8
2019/10/02,05:00,15.7,,96.5,203.9,0.6
2019/10/02,06:00,15.8,,96.9,202.8,1.0
2019/10/02,07:00,15.9,,96.6,128.8,0.4
2019/10/02,08:00,16.4,,95.1,143.4,0.3
2019/10/02,09:00,17.3,,91.3,176.1,0.6
2019/10/02,10:00,17.8,,87.3,174.9,1.0
2019/10/02,11:00,18.7,,83.5,164.2,1.7
2019/10/02,12:00,19.5,,80.4,157.4,1.7
2019/10/02,13:00,20.8,,74.24,156.3,2.5
2019/10/02,14:00,20.4,,74.15,157.9,2.8
