AÑO / MES / DÍA,TEMPERATURA (°C) Max, TEMPERATURA (°C) Min, HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día) TOTAL
2019-01-01,26.2,20,84.5,0.0
2019-01-02,26.7,20.6,82.4,0.0
2019-01-03,25.4,20.7,81.9,0.0
2019-01-04,27.6,20.9,81.0,0.0
2019-01-05,26.8,20.5,81.3,0.0
2019-01-06,25.4,20.8,84.5,0.0
2019-01-07,28.4,21,78.7,0.0
2019-01-08,28,21.5,80.5,0.0
2019-01-09,28.3,21.6,79.7,0.0
2019-01-10,26.2,21.8,84.5,0.0
2019-01-11,27.4,21.6,81.1,0.0
2019-01-12,26.6,21.7,85.7,0.0
2019-01-13,27.1,21,85.0,0.0
2019-01-14,26.6,21.2,86.0,0.0
2019-01-15,26.4,21.4,NA,0.0
2019-01-16,25,21,86.3,0.0
2019-01-17,23.4,20.7,87.9,0.0
2019-01-18,24.5,20,89.1,0.0
2019-01-19,26.4,19.5,86.0,0.0
2019-01-20,24.8,19.6,87.8,0.0
2019-01-21,27,20,83.5,0.0
2019-01-22,28.2,20.8,83.8,0.0
2019-01-23,27,21,86.4,1.0
2019-01-24,26.8,20.9,85.7,0.0
2019-01-25,28.8,21,85.5,0.0
2019-01-26,28.2,21.4,86.3,0.0
2019-01-27,27.8,21.2,86.5,0.0
2019-01-28,30.6,21.5,80.8,0.0
2019-01-29,30,22.6,77.8,0.0
2019-01-30,30.2,22.9,80.7,0.0
2019-01-31,28.6,23,81.9,0.0
