AÑO / MES / DÍA,TEMPERATURA (°C) Max, TEMPERATURA (°C) Min, HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día) TOTAL
2019-01-01,26.2,20,84.5,0.0
2019-04-01,27.6,17.4,86.7,0.0
2019-04-02,27.6,16.6,89.1,0.0
2019-04-03,27.4,16.8,87.8,0.0
2019-04-04,27.2,16.6,69.1,0.0
2019-04-05,27.6,17.4,87.9,0.0
2019-04-06,28.4,16.2,86.9,0.0
2019-04-07,26.8,17,86.1,0.0
2019-04-08,28.6,17.2,87.3,0.0
2019-04-09,28.4,17.4,87.4,0.0
2019-04-10,28.2,18,86.4,0.0
2019-04-11,28.8,17.2,88.2,0.0
2019-04-12,28.6,16.6,88.7,0.0
2019-04-13,27.4,16.6,87.8,0.0
2019-04-14,28,16.4,86.4,0.0
2019-04-15,28,17.2,86.2,0.0
2019-04-16,27.4,16.6,87.9,0.0
2019-04-17,28.4,16.6,88.2,0.0
2019-04-18,27.2,17,87.0,0.0
2019-04-19,27,17,87.5,0.0
2019-04-20,27.4,16.2,87.6,0.0
2019-04-21,27.6,16.6,89.3,0.0
2019-04-22,27,17,85.7,0.0
2019-04-23,27.4,16.8,86.1,0.0
2019-04-24,26.8,16.6,87.0,0.0
2019-04-25,27.6,16.6,87.7,0.0
2019-04-26,27.4,16.2,87.6,0.0
2019-04-27,26.6,16.6,87.0,0.0
2019-04-28,26.8,16.2,87.0,0.0
2019-04-29,26.8,16.4,87.2,0.0
2019-04-30,26.6,16.2,86.9,0.0
