AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2021/05/01,00:00,18.3,0.0,79,276,0.0
2021/05/01,01:00,18.3,0.0,82,314,0.0
2021/05/01,02:00,18.1,0.0,80,295,0.0
2021/05/01,03:00,18.0,0.0,82,185,0.0
2021/05/01,04:00,17.8,0.0,83,283,0.0
2021/05/01,05:00,17.8,0.0,83,317,0.0
2021/05/01,06:00,17.7,0.0,82,270,0.0
2021/05/01,07:00,18.1,0.0,80,260,0.0
2021/05/01,08:00,19.9,0.0,70,61,0.0
2021/05/01,09:00,21.7,0.0,66,228,2.0
2021/05/01,10:00,22.8,0.0,59,239,1.3
2021/05/01,11:00,24.5,0.0,56,227,3.8
2021/05/01,12:00,24.8,0.0,57,210,4.6
2021/05/01,13:00,24.6,0.0,58,211,4.2
2021/05/01,14:00,24.3,0.0,58,207,4.0
2021/05/01,15:00,24.2,0.0,58,213,3.8
2021/05/01,16:00,23.9,0.0,60,216,3.9
2021/05/01,17:00,23.0,0.0,63,221,4.3
2021/05/01,18:00,22.1,0.0,64,218,1.6
2021/05/01,19:00,21.6,0.0,66,35,0.6
2021/05/01,20:00,21.2,0.0,68,83,0.0
2021/05/01,21:00,20.9,0.0,69,80,0.0
2021/05/01,22:00,20.7,0.0,70,32,0.0
2021/05/01,23:00,20.6,0.0,71,111,0.0
2021/05/02,00:00,20.3,0.0,71,161,0.0
2021/05/02,01:00,20.2,0.0,72,158,0.0
2021/05/02,02:00,20.0,0.0,71,310,0.0
2021/05/02,03:00,19.5,0.0,72,276,0.3
2021/05/02,04:00,19.1,0.0,79,162,0.0
2021/05/02,05:00,18.3,0.0,83,56,0.1
2021/05/02,06:00,17.7,0.0,83,257,0.0
2021/05/02,07:00,18.4,0.0,76,302,0.1
2021/05/02,08:00,21.0,0.0,64,106,0.0
2021/05/02,09:00,23.4,0.0,58,73,0.2
2021/05/02,10:00,23.9,0.0,59,222,4.0
2021/05/02,11:00,24.5,0.0,56,226,4.0
2021/05/02,12:00,25.2,0.0,55,217,4.1
2021/05/02,13:00,25.0,0.0,55,214,4.0
2021/05/02,14:00,25.2,0.0,56,213,4.2
2021/05/02,15:00,24.8,0.0,57,211,3.8
2021/05/02,16:00,23.9,0.0,61,217,4.0
2021/05/02,17:00,23.0,0.0,63,218,3.4
2021/05/02,18:00,22.5,0.0,66,33,1.0
2021/05/02,19:00,21.3,0.0,70,65,0.0
2021/05/02,20:00,21.2,0.0,68,261,0.0
2021/05/02,21:00,21.9,0.0,67,62,0.0
2021/05/02,22:00,21.0,0.0,74,78,0.0
2021/05/02,23:00,19.8,0.0,77,42,0.7
2021/05/03,00:00,18.5,0.0,82,127,0.0
2021/05/03,01:00,18.1,0.0,82,272,0.0
2021/05/03,02:00,18.4,0.0,80,260,0.0
2021/05/03,03:00,19.4,0.0,78,39,0.5
2021/05/03,04:00,19.2,0.0,79,216,2.8
2021/05/03,05:00,18.9,0.0,79,19,0.7
2021/05/03,06:00,18.5,0.0,82,7,0.0
2021/05/03,07:00,18.3,0.0,81,318,0.0
2021/05/03,08:00,19.5,0.0,71,85,0.0
2021/05/03,09:00,20.9,0.0,72,190,1.7
2021/05/03,10:00,21.4,0.0,70,223,4.1
2021/05/03,11:00,21.3,0.0,73,219,4.9
2021/05/03,12:00,21.3,0.0,67,223,4.5
2021/05/03,13:00,21.4,0.0,67,205,4.4
2021/05/03,14:00,21.1,0.0,69,215,5.3
2021/05/03,15:00,20.6,0.0,74,216,4.6
2021/05/03,16:00,19.6,0.0,76,217,3.7
2021/05/03,17:00,19.2,0.0,80,218,2.8
2021/05/03,18:00,18.6,0.0,81,199,0.6
2021/05/03,19:00,18.4,0.0,83,90,0.0
2021/05/03,20:00,18.2,0.0,84,46,0.1
2021/05/03,21:00,17.7,0.0,86,153,0.0
2021/05/03,22:00,17.7,0.0,85,296,0.0
2021/05/03,23:00,18.3,0.0,82,167,0.0
2021/05/04,00:00,18.2,0.0,84,78,0.1
2021/05/04,01:00,17.4,0.0,87,75,0.0
2021/05/04,02:00,16.9,0.0,87,278,0.0
2021/05/04,03:00,17.4,0.0,85,226,0.0
2021/05/04,04:00,17.7,0.0,81,272,0.0
2021/05/04,05:00,18.0,0.0,83,82,0.0
2021/05/04,06:00,17.9,0.0,83,253,0.1
2021/05/04,07:00,18.7,0.0,81,35,0.0
2021/05/04,08:00,20.4,0.0,67,109,0.0
2021/05/04,09:00,23.9,0.0,58,118,0.5
2021/05/04,10:00,25.2,0.0,55,191,1.4
2021/05/04,11:00,25.7,0.0,54,223,4.0
2021/05/04,12:00,26.8,0.0,50,218,4.2
2021/05/04,13:00,27.3,0.0,49,216,3.7
2021/05/04,14:00,26.9,0.0,51,204,4.0
2021/05/04,15:00,26.5,0.0,52,205,3.7
2021/05/04,16:00,25.8,0.0,54,221,3.9
2021/05/04,17:00,24.5,0.0,61,220,4.3
2021/05/04,18:00,23.0,0.0,64,60,0.2
2021/05/04,19:00,21.7,0.0,69,8,0.5
2021/05/04,20:00,20.4,0.0,76,163,0.0
2021/05/04,21:00,19.6,0.0,74,270,0.0
2021/05/04,22:00,20.6,0.0,70,123,0.0
2021/05/04,23:00,21.4,0.0,66,182,0.0
2021/05/05,00:00,20.5,0.0,77,84,0.1
2021/05/05,01:00,19.1,0.0,80,234,0.0
2021/05/05,02:00,19.3,0.0,77,251,0.0
2021/05/05,03:00,19.0,0.0,77,33,0.0
2021/05/05,04:00,19.3,0.0,76,248,0.0
2021/05/05,05:00,19.3,0.0,75,243,0.0
2021/05/05,06:00,19.9,0.0,74,234,0.0
2021/05/05,07:00,20.1,0.0,71,318,0.1
2021/05/05,08:00,22.0,0.0,69,101,0.0
2021/05/05,09:00,23.1,0.0,59,30,2.0
2021/05/05,10:00,24.4,0.0,58,98,1.3
2021/05/05,11:00,25.2,0.0,56,223,3.7
2021/05/05,12:00,25.8,0.0,56,218,5.3
2021/05/05,13:00,25.2,0.0,55,220,5.0
2021/05/05,14:00,24.7,0.0,57,223,4.1
2021/05/05,15:00,23.8,0.0,62,220,4.9
2021/05/05,16:00,22.8,0.0,62,217,3.1
2021/05/05,17:00,23.4,0.0,61,43,0.4
2021/05/05,18:00,21.8,0.0,68,228,1.8
2021/05/05,19:00,20.4,0.0,75,46,1.2
2021/05/05,20:00,19.2,0.0,79,39,0.1
2021/05/05,21:00,18.6,0.0,82,99,0.0
2021/05/05,22:00,18.1,0.0,83,42,0.6
2021/05/05,23:00,17.7,0.0,87,300,0.9
2021/05/06,00:00,16.9,0.0,90,58,0.0
2021/05/06,01:00,16.2,0.0,93,192,1.3
2021/05/06,02:00,16.0,0.0,95,204,0.3
2021/05/06,03:00,15.8,0.0,96,183,0.0
2021/05/06,04:00,15.9,0.0,95,3,0.2
2021/05/06,05:00,16.4,0.0,89,174,0.1
2021/05/06,06:00,16.3,0.0,91,101,0.0
2021/05/06,07:00,16.2,0.0,93,213,1.4
2021/05/06,08:00,15.9,0.0,96,216,2.0
2021/05/06,09:00,15.7,0.0,97,228,1.6
2021/05/06,10:00,16.1,0.0,94,226,1.1
2021/05/06,11:00,16.1,0.0,97,227,2.5
2021/05/06,12:00,16.0,0.0,96,221,2.3
2021/05/06,13:00,16.6,0.0,89,232,1.7
2021/05/06,14:00,17.3,0.0,86,228,3.3
2021/05/06,15:00,17.6,0.0,85,227,3.1
2021/05/06,16:00,17.6,0.0,84,223,2.9
2021/05/06,17:00,17.3,0.0,85,223,3.1
2021/05/06,18:00,17.1,0.0,84,222,1.6
2021/05/06,19:00,16.9,0.0,85,217,1.1
2021/05/06,20:00,16.9,0.0,85,226,1.5
2021/05/06,21:00,16.8,0.0,86,225,1.5
2021/05/06,22:00,16.6,0.0,86,170,0.1
2021/05/06,23:00,16.8,0.0,85,308,0.0
2021/05/07,00:00,16.9,0.0,86,192,0.3
2021/05/07,01:00,16.6,0.0,88,124,0.1
2021/05/07,02:00,16.5,0.0,87,92,0.0
2021/05/07,03:00,16.4,0.0,88,152,0.1
2021/05/07,04:00,16.2,0.0,91,222,1.6
2021/05/07,05:00,16.0,0.0,90,156,0.1
2021/05/07,06:00,16.1,0.0,90,245,0.8
2021/05/07,07:00,16.1,0.0,90,158,0.0
2021/05/07,08:00,16.4,0.0,87,195,0.3
2021/05/07,09:00,17.1,0.0,83,137,1.1
2021/05/07,10:00,18.6,0.0,76,224,2.2
2021/05/07,11:00,20.0,0.0,71,228,3.2
2021/05/07,12:00,21.2,0.0,70,219,3.6
2021/05/07,13:00,21.7,0.0,67,232,3.6
