AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2021/06/01,00:00,16.2,,S/D,211.8,1.4
2021/06/01,01:00,16.1,,S/D,217.3,1.6
2021/06/01,02:00,15.8,,99.5,190.9,1.5
2021/06/01,03:00,15.9,,S/D,186,1.8
2021/06/01,04:00,15.9,,S/D,182,1.3
2021/06/01,05:00,15.9,,S/D,198.1,1.4
2021/06/01,06:00,16.0,,94.9,224.8,1.4
2021/06/01,07:00,16.0,,S/D,248.7,0.3
2021/06/01,08:00,16.4,,S/D,223.5,0.6
2021/06/01,09:00,16.7,,S/D,209.3,1.5
2021/06/01,10:00,16.8,,S/D,206.4,1.8
2021/06/01,11:00,17.4,,S/D,201.9,1.8
2021/06/01,12:00,18.4,,S/D,227.2,1.9
2021/06/01,13:00,19.5,,S/D,180.1,2.9
2021/06/01,14:00,19.3,,S/D,198.4,3.0
2021/06/01,15:00,17.8,,S/D,198.5,2.9
2021/06/01,16:00,17.6,,S/D,205.4,2.3
2021/06/01,17:00,17.4,,100,199.2,2.2
2021/06/01,18:00,17.0,,S/D,203.3,2.0
2021/06/01,19:00,16.4,,S/D,202,2.4
2021/06/01,20:00,16.1,,93.4,209.2,1.7
2021/06/01,21:00,16.0,,S/D,204.2,2.0
2021/06/01,22:00,15.9,,S/D,203.1,1.7
2021/06/01,23:00,15.7,,S/D,198.4,2.6
2021/06/02,00:00,15.3,,S/D,208.4,2.1
2021/06/02,01:00,15.0,,S/D,197.2,2.2
2021/06/02,02:00,14.9,,S/D,190,1.8
2021/06/02,03:00,14.9,,S/D,177,1.5
2021/06/02,04:00,14.8,,S/D,190.9,0.7
2021/06/02,05:00,14.8,,S/D,247.3,0.5
2021/06/02,06:00,14.7,,S/D,222.1,0.4
2021/06/02,07:00,14.9,,47.59,241.8,0.4
2021/06/02,08:00,15.2,,S/D,239.5,0.7
2021/06/02,09:00,15.5,,S/D,269.6,0.7
2021/06/02,10:00,16.5,,S/D,267.3,1.0
2021/06/02,11:00,17.7,,31.46,261.5,1.0
2021/06/02,12:00,17.0,,S/D,238.9,1.7
2021/06/02,13:00,17.0,,S/D,237.6,1.0
2021/06/02,14:00,17.1,,87.7,251.3,0.9
2021/06/02,15:00,17.0,,50.38,239.7,1.1
2021/06/02,16:00,16.7,,48.47,246.1,1.1
2021/06/02,17:00,16.4,,S/D,261.2,0.8
2021/06/02,18:00,16.1,,S/D,228.2,1.2
2021/06/02,19:00,16.0,,S/D,174.7,0.9
2021/06/02,20:00,15.6,,S/D,173.8,1.2
2021/06/02,21:00,15.7,,S/D,185.8,1.0
2021/06/02,22:00,15.8,,S/D,183.5,0.1
2021/06/02,23:00,16.0,,S/D,181.3,0.8
2021/06/03,00:00,16.0,,S/D,256,0.4
2021/06/03,01:00,15.9,,94,226.2,0.2
2021/06/03,02:00,16.0,,86.4,302.9,0.4
2021/06/03,03:00,16.1,,S/D,266.9,0.3
2021/06/03,04:00,16.1,,S/D,295.9,0.7
2021/06/03,05:00,16.2,,67.53,248,0.4
2021/06/03,06:00,16.1,,51.55,295.6,0.7
2021/06/03,07:00,16.2,,53.32,131.6,0.1
2021/06/03,08:00,16.6,,S/D,286.7,1.0
2021/06/03,09:00,16.6,,S/D,244.4,1.0
2021/06/03,10:00,16.9,,57.9,224.9,0.5
2021/06/03,11:00,17.4,,59.11,267.3,0.8
2021/06/03,12:00,18.2,,S/D,280.3,1.2
2021/06/03,13:00,18.6,,88,196.8,1.7
2021/06/03,14:00,18.5,,S/D,223.4,1.3
2021/06/03,15:00,17.8,,S/D,172.4,1.8
2021/06/03,16:00,17.7,,S/D,252.4,0.9
2021/06/03,17:00,17.5,,S/D,204.8,2.2
2021/06/03,18:00,17.2,,S/D,198.8,2.0
2021/06/03,19:00,16.9,,S/D,204,2.2
2021/06/03,20:00,16.9,,S/D,180.6,1.5
2021/06/03,21:00,16.8,,S/D,217.1,1.4
2021/06/03,22:00,16.7,,S/D,208.1,1.4
2021/06/03,23:00,16.7,,S/D,192.4,1.3
2021/06/04,00:00,16.6,,S/D,183.6,1.4
2021/06/04,01:00,16.6,,S/D,191,1.3
2021/06/04,03:00,16.4,,99.7,186.8,1.3
2021/06/04,04:00,16.3,,99.1,191.7,1.7
2021/06/04,05:00,16.2,,S/D,211,0.9
2021/06/04,06:00,16.3,,95.3,178.7,1.3
2021/06/04,07:00,16.4,,93.8,171.3,1.3
2021/06/04,08:00,16.8,,94.5,179.3,1.0
