AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2023/02/01,00:00,19.8,0.2,76.77,200.4,1.1
2023/02/01,01:00,18.6,0.0,83.5,201.1,1.4
2023/02/01,02:00,19.1,0.2,81.5,270.8,0.7
2023/02/01,03:00,18.2,0.1,85.5,178.6,0.5
2023/02/01,04:00,18.0,0.1,86.4,0,0.0
2023/02/01,05:00,18.2,0.1,85.7,0,0.0
2023/02/01,06:00,18.5,0.4,85,245,1.2
2023/02/01,07:00,18.1,0.3,87.6,205.1,1.0
2023/02/01,08:00,19.4,0.3,83.2,0,0.0
2023/02/01,09:00,20.7,0.3,75.9,293.5,0.9
2023/02/01,10:00,20.3,0.4,79.3,243.7,1.9
2023/02/01,11:00,20.9,1.4,78.54,263.7,1.6
2023/02/01,12:00,23.2,1.7,68.5,244.6,2.3
2023/02/01,13:00,24.7,1.8,59.95,236.6,2.3
2023/02/01,14:00,24.4,2.5,59.74,215.6,2.5
2023/02/01,15:00,23.5,0.9,60.6,203,2.8
2023/02/01,16:00,22.9,2.1,62.75,193.6,3.4
2023/02/01,17:00,24.3,1.6,56.48,183.4,2.8
2023/02/01,18:00,22.4,0.6,66.96,193.4,3.3
2023/02/01,19:00,21.1,0.3,75.79,186.3,2.0
2023/02/01,20:00,20.7,0.0,77.13,183.1,2.0
2023/02/01,21:00,21.6,0.8,70.6,138.6,0.9
2023/02/01,22:00,22.2,0.2,65.28,156.9,0.8
2023/02/01,23:00,20.0,0.3,77.75,195.3,2.1
2023/02/02,00:00,19.8,0.3,81.3,168.7,1.1
2023/02/02,01:00,20.1,0.2,80.6,199.3,1.4
2023/02/02,02:00,19.2,0.3,85.6,196.7,2.0
2023/02/02,03:00,19.1,0.1,86.7,189.6,1.2
2023/02/02,04:00,18.8,0.2,87.2,213.2,1.4
2023/02/02,05:00,18.4,0.1,88.9,202.3,1.5
2023/02/02,06:00,18.0,0.0,89.6,217.9,1.1
2023/02/02,07:00,18.4,1.9,90.4,194.8,0.5
2023/02/02,08:00,21.3,0.7,83.7,185.6,0.4
2023/02/02,09:00,23.0,1.7,72.28,212.1,1.3
2023/02/02,10:00,25.2,0.2,60.14,201,1.5
2023/02/02,11:00,25.3,2.0,58.12,266.4,2.3
2023/02/02,12:00,25.2,0.8,56.61,230.6,2.8
2023/02/02,13:00,24.1,1.0,61.19,220.3,3.8
2023/02/02,14:00,23.6,1.5,63.42,207.3,3.9
2023/02/02,15:00,23.8,0.4,63.97,197.3,3.2
2023/02/02,16:00,23.7,0.8,63.58,196.8,3.7
2023/02/02,17:00,22.6,1.8,68.36,192.2,3.6
2023/02/02,18:00,21.2,0.9,75.12,195,2.9
2023/02/02,19:00,21.4,0.3,73.94,187.4,1.7
2023/02/02,20:00,21.4,0.3,72.75,199.9,2.0
2023/02/02,21:00,20.1,0.5,79.63,194.6,2.0
2023/02/02,22:00,20.0,0.1,82.3,183.9,2.1
2023/02/02,23:00,19.9,0.5,82.7,196.5,2.2
2023/02/03,00:00,20.1,0.6,81,181.5,1.1
2023/02/03,01:00,19.4,0.0,84.5,192.5,2.1
2023/02/03,02:00,18.9,0.2,87,212,1.7
2023/02/03,03:00,18.5,0.1,89.4,218.6,1.5
2023/02/03,04:00,18.3,0.1,90.3,195.2,0.7
2023/02/03,05:00,18.4,0.5,90,196.1,1.8
2023/02/03,06:00,18.4,0.0,90.2,203.7,1.5
2023/02/03,07:00,18.5,0.7,89.5,209.5,1.4
2023/02/03,08:00,19.2,1.1,87.2,206.7,2.0
2023/02/03,09:00,21.1,2.2,78.65,207.6,2.7
2023/02/03,10:00,21.6,1.7,77.29,202,3.2
2023/02/03,11:00,21.9,2.6,73.03,193.9,2.6
2023/02/03,12:00,0.0,0.0,S/D,87.7,0.1
2023/02/03,13:00,5.1,0.9,65.83,147.9,1.0
2023/02/03,14:00,22.7,11.8,69.12,173.8,3.1
2023/02/03,15:00,22.6,0.0,70.7,193.9,3.5
2023/02/03,16:00,21.5,0.0,74.77,197.4,4.2
2023/02/03,17:00,22.0,0.0,74.48,188.9,2.4
2023/02/03,18:00,20.8,0.0,81.1,186.8,3.0
2023/02/03,19:00,20.8,0.0,80.7,171.3,1.7
2023/02/03,20:00,20.9,0.0,78.97,163.3,1.6
2023/02/03,21:00,20.8,0.0,78.84,154.4,1.2
2023/02/03,22:00,20.5,0.0,81,155.8,1.2
2023/02/03,23:00,20.2,0.0,84.2,170.6,0.9
2023/02/04,00:00,19.8,0.0,87,173.8,1.7
2023/02/04,01:00,19.7,0.0,86,158.5,1.0
2023/02/04,02:00,19.8,0.0,85.7,172.2,0.9
2023/02/04,03:00,19.1,0.0,91.5,184,1.9
2023/02/04,04:00,19.2,0.0,90.3,179.9,1.0
2023/02/04,05:00,19.2,0.0,90,221.7,1.3
2023/02/04,06:00,19.2,0.0,90.4,194.2,1.0
2023/02/04,07:00,19.0,0.0,92,193.6,1.4
2023/02/04,08:00,20.2,0.0,84.6,198.2,1.4
2023/02/04,09:00,20.4,0.0,83.3,192.7,2.1
2023/02/04,10:00,21.4,0.0,78.68,201.2,2.1
2023/02/04,11:00,21.1,0.0,78.34,207.8,3.3
2023/02/04,12:00,20.5,0.0,81.1,191,2.9
2023/02/04,13:00,22.5,0.0,68.26,189.2,2.4
2023/02/04,14:00,23.5,0.0,66.28,200.9,2.9
2023/02/04,15:00,23.6,0.0,63.47,210.3,3.0
2023/02/04,16:00,22.5,0.0,70.95,179.6,2.6
