AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2022/01/01,00:00,19.6,0.0,86,177,1.3
2022/01/01,01:00,19.5,0.0,86,167,0.9
2022/01/01,02:00,19.4,0.0,87,157,0.5
2022/01/01,03:00,19.3,0.0,87,146,0.8
2022/01/01,04:00,19.2,0.0,87,181,0.5
2022/01/01,05:00,18.9,0.0,89,269,1.5
2022/01/01,06:00,18.8,0.0,89,259,1.2
2022/01/01,07:00,18.8,0.0,89,276,1.2
2022/01/01,08:00,18.9,0.0,88,205,0.1
2022/01/01,09:00,19.6,0.0,85,210,1.0
2022/01/01,10:00,20.6,0.0,80,209,1.5
2022/01/01,11:00,22.0,0.0,72,245,3.3
2022/01/01,12:00,23.6,0.0,65,251,2.8
2022/01/01,13:00,25.1,0.0,60,236,3.2
2022/01/01,14:00,25.1,0.0,58,199,2.1
2022/01/01,15:00,25.4,0.0,56,203,2.9
2022/01/01,16:00,25.3,0.0,56,193,2.1
2022/01/01,17:00,24.4,0.0,60,181,2.0
2022/01/01,18:00,22.9,0.0,67,187,2.5
2022/01/01,19:00,21.1,0.0,76,169,1.2
2022/01/01,20:00,20.3,0.0,79,158,1.3
2022/01/01,21:00,20.0,0.0,79,183,1.2
2022/01/01,22:00,20.2,0.0,77,177,1.7
2022/01/01,23:00,20.0,0.0,78,171,0.9
2022/01/02,00:00,20.0,0.0,78,139,0.8
2022/01/02,01:00,20.1,0.0,77,174,0.4
2022/01/02,02:00,19.8,0.0,80,163,1.1
2022/01/02,03:00,18.7,0.0,87,166,1.4
2022/01/02,04:00,18.6,0.0,87,161,1.0
2022/01/02,05:00,18.6,0.0,88,140,0.5
2022/01/02,06:00,18.5,0.0,88,145,0.2
2022/01/02,07:00,19.0,0.0,86,245,0.4
2022/01/02,08:00,20.4,0.0,80,150,0.8
2022/01/02,09:00,21.9,0.0,73,206,1.2
2022/01/02,10:00,22.6,0.0,70,182,2.0
2022/01/02,11:00,22.9,0.0,69,181,2.0
2022/01/02,12:00,23.5,0.0,66,204,1.8
2022/01/02,13:00,24.3,0.0,63,226,3.4
2022/01/02,14:00,24.3,0.0,62,173,2.5
2022/01/02,15:00,24.0,0.0,64,172,2.5
2022/01/02,16:00,23.3,0.0,66,181,2.4
2022/01/02,17:00,22.5,0.0,70,170,1.1
2022/01/02,18:00,22.4,0.0,70,178,1.1
2022/01/02,19:00,22.2,0.0,71,147,1.4
2022/01/02,20:00,21.4,0.0,75,158,1.9
2022/01/02,21:00,20.2,0.0,81,176,1.2
2022/01/02,22:00,21.0,0.0,77,217,0.8
