AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2023/04/01,00:00,22.5,0.0,,195.9,1.2
2023/04/01,01:00,22.5,0.0,,190.3,0.9
2023/04/01,02:00,22.2,0.0,,188.3,1.4
2023/04/01,03:00,22.4,0.0,,168.8,1.3
2023/04/01,04:00,22.4,0.0,,152.7,1.1
2023/04/01,05:00,22.6,0.0,,139.5,0.5
2023/04/01,06:00,22.7,0.0,,247.9,0.4
2023/04/01,07:00,23.1,0.0,,243.6,0.6
2023/04/01,08:00,24.0,0.0,,140.6,0.4
2023/04/01,09:00,25.3,0.0,,246.9,0.9
2023/04/01,10:00,25.7,0.0,,182.3,1.0
2023/04/01,11:00,27.2,0.0,,185.2,0.8
2023/04/01,12:00,28.7,0.0,,270.5,1.8
2023/04/01,13:00,28.0,0.0,,281.2,1.7
2023/04/01,14:00,28.1,0.0,,221.9,1.7
2023/04/01,15:00,28.2,0.0,,267.3,1.5
2023/04/01,16:00,28.0,0.0,,178.7,1.1
2023/04/01,17:00,26.7,0.0,,249.5,1.0
2023/04/01,18:00,24.2,0.0,,139.5,1.6
2023/04/01,19:00,23.6,0.0,,143.1,1.9
2023/04/01,20:00,23.5,0.0,,141.8,1.3
2023/04/01,21:00,23.4,0.0,,145.6,1.1
2023/04/01,22:00,22.9,0.0,,147.9,1.2
2023/04/01,23:00,22.7,0.0,,144.7,1.3
2023/04/02,00:00,22.6,0.0,,136.2,0.8
2023/04/02,01:00,22.5,0.0,,149.6,0.6
2023/04/02,02:00,22.5,0.0,,168.5,0.9
2023/04/02,03:00,22.5,0.0,,132.5,0.5
2023/04/02,04:00,22.8,0.0,,121.9,0.5
2023/04/02,05:00,22.7,0.0,,123.2,0.7
2023/04/02,06:00,22.6,0.0,,144.7,1.1
2023/04/02,07:00,22.9,0.0,,153.9,1.2
2023/04/02,08:00,22.9,0.0,,163.1,1.5
2023/04/02,09:00,23.8,0.0,,157.2,1.3
2023/04/02,10:00,25.9,0.0,,166.4,1.7
2023/04/02,11:00,28.0,0.0,,156,1.6
2023/04/02,12:00,27.8,0.0,,148.9,2.1
2023/04/02,13:00,29.5,0.0,,148.9,2.0
2023/04/02,14:00,29.5,0.0,,172.6,1.6
2023/04/02,15:00,28.5,0.0,,155.2,1.9
2023/04/02,16:00,27.8,0.0,,164.5,2.2
2023/04/02,17:00,26.3,0.0,,156.5,1.5
2023/04/02,18:00,25.5,0.0,,155.5,1.7
2023/04/02,19:00,25.1,0.0,,167.1,1.8
2023/04/02,20:00,25.1,0.0,,133.5,1.1
2023/04/02,21:00,24.2,0.0,,143.9,1.7
2023/04/02,22:00,24.1,0.0,,146.9,1.1
2023/04/02,23:00,23.5,0.0,,133.7,0.9
2023/04/03,00:00,23.0,0.0,,136.9,1.5
2023/04/03,01:00,23.0,0.0,,136.8,1.0
2023/04/03,02:00,23.7,0.0,,190.7,0.4
2023/04/03,03:00,22.5,0.0,,131.5,1.1
2023/04/03,04:00,22.1,0.0,,121.8,0.5
2023/04/03,05:00,22.2,0.0,,124,0.4
2023/04/03,06:00,22.3,0.0,,131.5,1.2
2023/04/03,07:00,23.4,0.0,,104,0.4
2023/04/03,08:00,24.9,0.0,,248,0.6
2023/04/03,09:00,28.5,0.0,,115.4,0.5
2023/04/03,10:00,28.9,0.0,,114.8,2.0
2023/04/03,11:00,29.0,0.0,,121.1,2.5
2023/04/03,12:00,30.3,0.0,,127.7,2.0
2023/04/03,13:00,29.6,0.0,,115.3,2.2
2023/04/03,14:00,30.0,0.0,,134.5,2.0
2023/04/03,15:00,28.1,0.0,,109.5,2.3
2023/04/03,16:00,25.7,0.0,,112,2.8
2023/04/03,17:00,25.3,0.0,,136.7,2.2
2023/04/03,18:00,24.4,0.0,,99.4,1.6
2023/04/03,19:00,23.9,0.0,,115,1.7
2023/04/03,20:00,23.8,0.0,,106.7,1.1
2023/04/04,07:00,S/D,S/D,,S/D,S/D
2023/04/04,09:00,27.4,0.0,,100.2,1.2
2023/04/04,10:00,28.9,0.0,,79.06,1.3
2023/04/04,11:00,29.4,0.0,,138.4,1.5
2023/04/04,12:00,30.6,0.0,,210.9,1.3
2023/04/04,13:00,30.8,0.0,,257.4,1.6
2023/04/04,14:00,30.2,0.0,,251.5,1.7
2023/04/04,15:00,30.5,0.0,,263,1.7
2023/04/04,16:00,28.6,0.0,,133.3,2.3
2023/04/04,17:00,26.6,0.0,,138.7,2.0
2023/04/04,18:00,24.9,0.0,,165.3,1.5
2023/04/04,19:00,24.5,0.0,,127,1.0
2023/04/04,20:00,24.0,0.0,,120.6,1.6
2023/04/04,21:00,24.3,0.0,,105.4,1.5
2023/04/04,22:00,24.0,0.0,,128.5,0.9
2023/04/04,23:00,23.3,0.0,,101.8,1.8
2023/04/05,00:00,23.3,0.0,,104.6,1.0
2023/04/05,01:00,24.0,0.0,,40.4,0.1
2023/04/05,02:00,24.8,0.0,,80.9,0.5
2023/04/05,03:00,24.9,0.0,,177,0.2
2023/04/05,04:00,24.0,0.0,,88.1,0.7
2023/04/05,05:00,23.3,0.0,,127.9,0.7
2023/04/05,06:00,23.2,0.0,,89.4,0.6
2023/04/05,07:00,23.3,0.0,,129.6,0.7
2023/04/05,08:00,24.5,0.0,,92,1.3
2023/04/05,09:00,27.3,0.0,,102.6,1.1
2023/04/05,10:00,30.1,0.0,,215.3,1.4
2023/04/05,11:00,30.7,0.0,,225.2,1.3
2023/04/05,12:00,30.5,0.0,,279.3,2.0
2023/04/05,13:00,30.6,0.0,,274,2.1
2023/04/05,14:00,30.8,0.0,,273.3,1.6
2023/04/05,15:00,29.6,0.0,,271.4,1.6
2023/04/05,16:00,29.5,0.0,,224.6,1.3
2023/04/05,17:00,27.7,0.0,,163.5,1.7
2023/04/05,18:00,25.7,0.0,,162.7,1.6
2023/04/05,19:00,25.3,0.0,,140.9,1.3
2023/04/05,20:00,25.8,0.0,,139.5,1.1
2023/04/05,21:00,25.2,0.0,,101.6,1.7
2023/04/05,22:00,25.3,0.0,,119.2,1.2
