AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2022/07/01,00:00,14.4,0.0,85,118,1.9
2022/07/01,01:00,14.4,0.0,86,240,0.9
2022/07/01,02:00,14.3,0.0,86,271,1.5
2022/07/01,03:00,14.0,0.0,88,231,1.7
2022/07/01,04:00,14.1,0.0,89,259,1.8
2022/07/01,05:00,14.1,0.0,89,282,2.6
2022/07/01,06:00,14.1,0.0,89,262,1.7
2022/07/01,08:00,14.7,0.0,86,234,2.3
2022/07/01,09:00,15.3,0.0,84,251,2.1
2022/07/01,10:00,15.6,0.0,82,240,3.6
2022/07/01,11:00,16.0,0.0,81,238,4.0
2022/07/01,12:00,16.3,0.0,78,252,3.8
2022/07/01,13:00,16.7,0.0,76,257,4.0
2022/07/01,14:00,17.4,0.0,72,256,3.1
2022/07/01,15:00,17.3,0.0,73,261,4.7
2022/07/01,16:00,18.0,0.0,70,287,4.3
2022/07/01,17:00,15.8,0.0,80,276,3.9
2022/07/01,18:00,13.9,0.0,86,283,1.5
2022/07/01,19:00,12.3,0.0,90,298,1.3
2022/07/01,20:00,11.3,0.0,92,291,1.0
2022/07/01,21:00,11.8,0.0,92,345,0.9
2022/07/01,22:00,13.4,0.0,93,205,1.2
2022/07/01,23:00,13.8,0.0,91,100,1.5
2022/07/02,00:00,13.9,0.0,90,89,0.5
2022/07/02,01:00,13.9,0.0,89,235,0.1
2022/07/02,02:00,13.9,0.0,90,254,1.4
2022/07/02,03:00,13.6,0.0,91,254,2.0
2022/07/02,04:00,13.3,0.0,92,217,0.4
2022/07/02,05:00,13.5,0.0,92,290,1.4
2022/07/02,06:00,13.6,0.0,92,165,0.7
2022/07/02,07:00,13.6,0.0,92,264,0.6
2022/07/02,08:00,13.6,0.0,92,262,2.4
2022/07/02,09:00,14.0,0.0,92,259,1.0
2022/07/02,10:00,15.5,0.0,86,278,1.3
2022/07/02,11:00,16.8,0.0,80,281,3.5
2022/07/02,12:00,17.0,0.0,77,280,4.5
2022/07/02,13:00,17.8,0.0,73,267,5.6
2022/07/02,14:00,19.4,0.0,66,285,4.5
2022/07/02,15:00,18.2,0.0,70,272,6.2
2022/07/02,16:00,16.4,0.0,76,276,5.8
2022/07/02,17:00,15.2,0.0,82,275,4.9
2022/07/02,18:00,14.3,0.0,87,272,3.6
2022/07/02,19:00,14.1,0.0,89,271,2.5
2022/07/02,20:00,14.2,0.0,88,269,1.8
2022/07/02,21:00,14.4,0.0,87,228,1.8
2022/07/02,22:00,14.1,0.0,89,265,3.5
2022/07/02,23:00,14.0,0.0,90,242,1.4
2022/07/03,00:00,13.9,0.0,91,235,1.9
2022/07/03,01:00,13.8,0.0,90,251,3.0
2022/07/03,02:00,13.7,0.0,91,265,2.2
2022/07/03,03:00,13.5,0.0,92,265,2.8
2022/07/03,04:00,13.3,0.0,92,258,1.8
2022/07/03,05:00,13.2,0.0,93,269,2.8
2022/07/03,06:00,13.2,0.0,93,274,2.6
2022/07/03,07:00,13.1,0.0,93,281,2.4
2022/07/03,08:00,13.3,0.0,92,269,2.8
2022/07/03,09:00,13.6,0.0,90,274,2.8
2022/07/03,10:00,13.9,0.0,89,265,3.0
