"","Date","Relative_Humidity_(%)","Precipitation_(mm/h)","Temperature_(C)","Wind_Direction_Degrees","Wind_Speed_m/s","Time"
"1",2019-01-01,84.5,0,23.1,NA,NA,NA
"2",2019-01-02,82.4,0,23.65,NA,NA,NA
"3",2019-01-03,81.9,0,23.05,NA,NA,NA
"4",2019-01-04,81,0,24.25,NA,NA,NA
"5",2019-01-05,81.3,0,23.65,NA,NA,NA
"6",2019-01-06,84.5,0,23.1,NA,NA,NA
"7",2019-01-07,78.7,0,24.7,NA,NA,NA
"8",2019-01-08,80.5,0,24.75,NA,NA,NA
"9",2019-01-09,79.7,0,24.95,NA,NA,NA
"10",2019-01-10,84.5,0,24,NA,NA,NA
"11",2019-01-11,81.1,0,24.5,NA,NA,NA
"12",2019-01-12,85.7,0,24.15,NA,NA,NA
"13",2019-01-13,85,0,24.05,NA,NA,NA
"14",2019-01-14,86,0,23.9,NA,NA,NA
"15",2019-01-15,NA,0,23.9,NA,NA,NA
"16",2019-01-16,86.3,0,23,NA,NA,NA
"17",2019-01-17,87.9,0,22.05,NA,NA,NA
"18",2019-01-18,89.1,0,22.25,NA,NA,NA
"19",2019-01-19,86,0,22.95,NA,NA,NA
"20",2019-01-20,87.8,0,22.2,NA,NA,NA
"21",2019-01-21,83.5,0,23.5,NA,NA,NA
"22",2019-01-22,83.8,0,24.5,NA,NA,NA
"23",2019-01-23,86.4,1,24,NA,NA,NA
"24",2019-01-24,85.7,0,23.85,NA,NA,NA
"25",2019-01-25,85.5,0,24.9,NA,NA,NA
"26",2019-01-26,86.3,0,24.8,NA,NA,NA
"27",2019-01-27,86.5,0,24.5,NA,NA,NA
"28",2019-01-28,80.8,0,26.05,NA,NA,NA
"29",2019-01-29,77.8,0,26.3,NA,NA,NA
"30",2019-01-30,80.7,0,26.55,NA,NA,NA
"31",2019-01-31,81.9,0,25.8,NA,NA,NA
"32",2019-01-01,84.5,0,23.1,NA,NA,NA
"33",2019-02-01,78.1,0,26.05,NA,NA,NA
"34",2019-02-02,82.5,0,25.7,NA,NA,NA
"35",2019-02-03,83.5,0,25.75,NA,NA,NA
"36",2019-02-04,87.6,0,26.05,NA,NA,NA
"37",2019-02-05,82.7,0,25.95,NA,NA,NA
"38",2019-02-06,85.8,0,25.75,NA,NA,NA
"39",2019-02-07,83.7,0,25.8,NA,NA,NA
"40",2019-02-08,86.7,0,24.8,NA,NA,NA
"41",2019-02-09,79.5,0,26,NA,NA,NA
"42",2019-02-10,81.9,0,26.4,NA,NA,NA
"43",2019-02-11,86.1,0,25.55,NA,NA,NA
"44",2019-02-12,87.3,0,26.3,NA,NA,NA
"45",2019-02-13,86.8,0,26,NA,NA,NA
"46",2019-02-14,87.4,0,25.55,NA,NA,NA
"47",2019-02-15,77.1,0,26.3,NA,NA,NA
"48",2019-02-16,79.2,0,26.2,NA,NA,NA
"49",2019-02-17,84.9,0,25.65,NA,NA,NA
"50",2019-02-18,79.6,0,26.25,NA,NA,NA
"51",2019-02-19,79.8,0,26.2,NA,NA,NA
"52",2019-02-20,77.8,0,26.65,NA,NA,NA
"53",2019-02-21,72.5,0,27.25,NA,NA,NA
"54",2019-02-22,85.3,0,24.65,NA,NA,NA
"55",2019-02-23,84.7,0,25,NA,NA,NA
"56",2019-02-24,83,0,25.1,NA,NA,NA
"57",2019-02-25,83.1,0,25.15,NA,NA,NA
"58",2019-02-26,78.1,0,25.95,NA,NA,NA
"59",2019-02-27,83,0,26.15,NA,NA,NA
"60",2019-02-28,80.5,0,26.35,NA,NA,NA
"61",2019-01-01,84.5,0,23.1,NA,NA,NA
"62",2019-03-01,83.9,0,25.8,NA,NA,NA
"63",2019-03-02,78.2,0,25.8,NA,NA,NA
"64",2019-03-03,83.5,0,25.15,NA,NA,NA
"65",2019-03-04,84.8,0,25,NA,NA,NA
"66",2019-03-05,83.3,0,25.1,NA,NA,NA
"67",2019-03-06,88,0,24.5,NA,NA,NA
"68",2019-03-07,86.8,0,24.6,NA,NA,NA
"69",2019-03-08,82,0,24.9,NA,NA,NA
"70",2019-03-09,83,0,25.15,NA,NA,NA
"71",2019-03-10,86.9,0,24.5,NA,NA,NA
"72",2019-03-11,83.7,0,25.5,NA,NA,NA
"73",2019-03-12,85.2,0,25.35,NA,NA,NA
"74",2019-03-13,83.2,0,26.35,NA,NA,NA
"75",2019-03-14,85.5,0,26,NA,NA,NA
"76",2019-03-15,89.8,0,24.15,NA,NA,NA
"77",2019-03-16,85.8,0,23.7,NA,NA,NA
"78",2019-03-17,85.5,0.3,24.25,NA,NA,NA
"79",2019-03-18,84.9,0,23.9,NA,NA,NA
"80",2019-03-19,84,0,23.7,NA,NA,NA
"81",2019-03-20,84,0,23.25,NA,NA,NA
"82",2019-03-21,84.8,0,22.8,NA,NA,NA
"83",2019-03-22,86.2,0,22.45,NA,NA,NA
"84",2019-03-23,85.8,0,22.85,NA,NA,NA
"85",2019-03-24,85.1,0,23.6,NA,NA,NA
"86",2019-03-25,87.8,0,23,NA,NA,NA
"87",2019-03-26,84.4,0,22.65,NA,NA,NA
"88",2019-03-27,83.1,0,23.45,NA,NA,NA
"89",2019-03-28,84.8,0,23,NA,NA,NA
"90",2019-03-29,82.4,0,23.25,NA,NA,NA
"91",2019-03-30,83.3,0,23.3,NA,NA,NA
"92",2019-03-31,82.7,0,22.9,NA,NA,NA
"93",2019-01-01,84.5,0,23.1,NA,NA,NA
"94",2019-04-01,88.8,0,21.8,NA,NA,NA
"95",2019-04-02,88.4,0,21.95,NA,NA,NA
"96",2019-04-03,86.4,0,22.6,NA,NA,NA
"97",2019-04-04,88.2,0,22.4,NA,NA,NA
"98",2019-04-05,87.4,0,22.9,NA,NA,NA
"99",2019-04-06,86.2,0,23.7,NA,NA,NA
"100",2019-04-07,85.3,0,22.85,NA,NA,NA
"101",2019-04-08,86.7,0.4,23,NA,NA,NA
"102",2019-04-09,85.5,0,22.3,NA,NA,NA
"103",2019-04-10,84.6,0,23.05,NA,NA,NA
"104",2019-04-11,83.8,0,22.05,NA,NA,NA
"105",2019-04-12,83.2,0,21.95,NA,NA,NA
"106",2019-04-13,87,0,21.45,NA,NA,NA
"107",2019-04-14,80.4,0,22.4,NA,NA,NA
"108",2019-04-15,83.2,0,22.6,NA,NA,NA
"109",2019-04-16,82.7,0,22.8,NA,NA,NA
"110",2019-04-17,85.7,0,22.8,NA,NA,NA
"111",2019-04-18,88.8,0,21.1,NA,NA,NA
"112",2019-04-19,83.3,0,22.9,NA,NA,NA
"113",2019-04-20,87.5,0,22.85,NA,NA,NA
"114",2019-04-21,84.7,0,23.3,NA,NA,NA
"115",2019-04-22,81.6,0,23.15,NA,NA,NA
"116",2019-04-23,87.1,0,23.15,NA,NA,NA
"117",2019-04-24,88.9,0,22.35,NA,NA,NA
"118",2019-04-25,89.9,0,22.1,NA,NA,NA
