"","Date","Relative_Humidity_(%)","Precipitation_(mm/h)","Temperature_(C)","Wind_Direction_Degrees","Wind_Speed_m/s","Time"
"1",2019-01-01,84.5,0,23.1,NA,NA,NA
"2",2019-01-01,86.3,0,22.4,NA,NA,NA
"3",2019-01-02,86.3,0,22.5,NA,NA,NA
"4",2019-01-03,85.7,0,21.9,NA,NA,NA
"5",2019-01-04,89.4,0,22.4,NA,NA,NA
"6",2019-01-05,86.6,0,22.45,NA,NA,NA
"7",2019-01-06,86.6,0,21.7,NA,NA,NA
"8",2019-01-07,86.8,0,22.3,NA,NA,NA
"9",2019-01-08,86.4,0,22.3,NA,NA,NA
"10",2019-01-09,86,0,22.9,NA,NA,NA
"11",2019-01-10,87.2,0,22.9,NA,NA,NA
"12",2019-01-11,88,0,22.7,NA,NA,NA
"13",2019-01-12,87.3,0,22.6,NA,NA,NA
"14",2019-01-13,87.1,0,23.1,NA,NA,NA
"15",2019-01-14,87.1,0,22.6,NA,NA,NA
"16",2019-01-15,85.8,0,22.9,NA,NA,NA
"17",2019-01-16,87.1,0,23,NA,NA,NA
"18",2019-01-17,84.9,0,23.1,NA,NA,NA
"19",2019-01-18,85.2,0.7,22.5,NA,NA,NA
"20",2019-01-19,85,0,22.6,NA,NA,NA
"21",2019-01-20,88.2,0,23.6,NA,NA,NA
"22",2019-01-21,85.5,0,22.4,NA,NA,NA
"23",2019-01-22,85.2,0,22.4,NA,NA,NA
"24",2019-01-23,86.9,0,23.3,NA,NA,NA
"25",2019-01-24,86,0,22.7,NA,NA,NA
"26",2019-01-25,85.4,0,23.4,NA,NA,NA
"27",2019-01-26,86.6,0,22.9,NA,NA,NA
"28",2019-01-27,86.7,0,23.2,NA,NA,NA
"29",2019-01-28,87.2,0,22.6,NA,NA,NA
"30",2019-01-29,86.3,0,23,NA,NA,NA
"31",2019-01-30,87.4,0,23,NA,NA,NA
"32",2019-01-31,85.6,0,23.1,NA,NA,NA
"33",2019-01-01,84.5,0,23.1,NA,NA,NA
"34",2019-02-01,85.7,0,23.7,NA,NA,NA
"35",2019-02-02,85.5,0,23.3,NA,NA,NA
"36",2019-02-03,90.7,0,23,NA,NA,NA
"37",2019-02-04,88.6,0,23,NA,NA,NA
"38",2019-02-05,85.1,0,23.4,NA,NA,NA
"39",2019-02-06,87.3,0,23,NA,NA,NA
"40",2019-02-07,87.8,0,23.1,NA,NA,NA
"41",2019-02-08,87,0,23.1,NA,NA,NA
"42",2019-02-09,86.9,0,23.7,NA,NA,NA
"43",2019-02-10,86.5,0,22.8,NA,NA,NA
"44",2019-02-11,87.9,0,23.4,NA,NA,NA
"45",2019-02-12,86.3,0,23.4,NA,NA,NA
"46",2019-02-13,86.8,0,23.1,NA,NA,NA
"47",2019-02-14,86.7,0,23.2,NA,NA,NA
"48",2019-02-15,87.8,0,22.8,NA,NA,NA
"49",2019-02-16,88.1,0,22.7,NA,NA,NA
"50",2019-02-17,86.9,0,23.5,NA,NA,NA
"51",2019-02-18,86.8,0,22.8,NA,NA,NA
"52",2019-02-19,86.4,0,24,NA,NA,NA
"53",2019-02-20,86.7,0,23.5,NA,NA,NA
"54",2019-02-21,86,0,24.4,NA,NA,NA
"55",2019-02-22,86.6,0,24.6,NA,NA,NA
"56",2019-02-23,86.1,0,24.6,NA,NA,NA
"57",2019-02-24,87.7,0,23.9,NA,NA,NA
"58",2019-02-25,88.1,1.6,22.4,NA,NA,NA
"59",2019-02-26,86.6,0,23.5,NA,NA,NA
"60",2019-02-27,87.2,0,24,NA,NA,NA
"61",2019-02-28,87.5,0,23.8,NA,NA,NA
"62",2019-01-01,84.5,0,23.1,NA,NA,NA
"63",2019-03-01,86.5,0,23.9,NA,NA,NA
"64",2019-03-02,87,0,23.8,NA,NA,NA
"65",2019-03-03,86.8,0,23.3,NA,NA,NA
"66",2019-03-04,86.9,0,23.4,NA,NA,NA
"67",2019-03-05,87.6,0,23.7,NA,NA,NA
"68",2019-03-06,85.5,0,23,NA,NA,NA
"69",2019-03-07,86.8,0,23,NA,NA,NA
"70",2019-03-08,86.6,0,23.4,NA,NA,NA
"71",2019-03-09,87.2,0,23.7,NA,NA,NA
"72",2019-03-10,85.6,0,24.3,NA,NA,NA
"73",2019-03-11,86.3,0,24.1,NA,NA,NA
"74",2019-03-12,87.2,0,24,NA,NA,NA
"75",2019-03-13,86.2,0,23.7,NA,NA,NA
"76",2019-03-14,87,0,23.3,NA,NA,NA
"77",2019-03-15,87.9,0,23.5,NA,NA,NA
"78",2019-03-16,86.1,0,23.5,NA,NA,NA
"79",2019-03-17,87.5,0,23.7,NA,NA,NA
"80",2019-03-18,87.2,0,24.2,NA,NA,NA
"81",2019-03-19,86.6,0,24.1,NA,NA,NA
"82",2019-03-20,86,0,24.3,NA,NA,NA
"83",2019-03-21,86,0,23.3,NA,NA,NA
"84",2019-03-22,85.3,0,23.7,NA,NA,NA
"85",2019-03-23,86.4,0,23.3,NA,NA,NA
"86",2019-03-24,87,0,23,NA,NA,NA
"87",2019-03-25,88.3,0,23.3,NA,NA,NA
"88",2019-03-26,86.3,0,23.2,NA,NA,NA
"89",2019-03-27,86.6,0,23.5,NA,NA,NA
"90",2019-03-28,86.7,0,23.8,NA,NA,NA
"91",2019-03-29,88.6,0,23.1,NA,NA,NA
"92",2019-03-30,87.3,0,22.8,NA,NA,NA
"93",2019-03-31,87,0,23.2,NA,NA,NA
"94",2019-01-01,84.5,0,23.1,NA,NA,NA
"95",2019-04-01,86.7,0,22.5,NA,NA,NA
"96",2019-04-02,89.1,0,22.1,NA,NA,NA
"97",2019-04-03,87.8,0,22.1,NA,NA,NA
"98",2019-04-04,69.1,0,21.9,NA,NA,NA
"99",2019-04-05,87.9,0,22.5,NA,NA,NA
"100",2019-04-06,86.9,0,22.3,NA,NA,NA
"101",2019-04-07,86.1,0,21.9,NA,NA,NA
"102",2019-04-08,87.3,0,22.9,NA,NA,NA
"103",2019-04-09,87.4,0,22.9,NA,NA,NA
"104",2019-04-10,86.4,0,23.1,NA,NA,NA
"105",2019-04-11,88.2,0,23,NA,NA,NA
"106",2019-04-12,88.7,0,22.6,NA,NA,NA
"107",2019-04-13,87.8,0,22,NA,NA,NA
"108",2019-04-14,86.4,0,22.2,NA,NA,NA
"109",2019-04-15,86.2,0,22.6,NA,NA,NA
"110",2019-04-16,87.9,0,22,NA,NA,NA
"111",2019-04-17,88.2,0,22.5,NA,NA,NA
"112",2019-04-18,87,0,22.1,NA,NA,NA
"113",2019-04-19,87.5,0,22,NA,NA,NA
"114",2019-04-20,87.6,0,21.8,NA,NA,NA
"115",2019-04-21,89.3,0,22.1,NA,NA,NA
"116",2019-04-22,85.7,0,22,NA,NA,NA
"117",2019-04-23,86.1,0,22.1,NA,NA,NA
"118",2019-04-24,87,0,21.7,NA,NA,NA
"119",2019-04-25,87.7,0,22.1,NA,NA,NA
"120",2019-04-26,87.6,0,21.8,NA,NA,NA
"121",2019-04-27,87,0,21.6,NA,NA,NA
"122",2019-04-28,87,0,21.5,NA,NA,NA
"123",2019-04-29,87.2,0,21.6,NA,NA,NA
"124",2019-04-30,86.9,0,21.4,NA,NA,NA
"125",2019-01-01,84.5,0,23.1,NA,NA,NA
"126",2019-05-01,89,0,21.3,NA,NA,NA
"127",2019-05-02,87.4,0,20.9,NA,NA,NA
"128",2019-05-03,87.1,0,21.2,NA,NA,NA
"129",2019-05-04,86.9,0,21.1,NA,NA,NA
"130",2019-05-05,86.1,0,21.7,NA,NA,NA
"131",2019-05-06,86.4,0,21,NA,NA,NA
"132",2019-05-07,89.5,0,20.7,NA,NA,NA
"133",2019-05-08,86.8,0,20.6,NA,NA,NA
"134",2019-05-09,86.7,0,21.1,NA,NA,NA
"135",2019-05-10,88,0,20.9,NA,NA,NA
"136",2019-05-11,88.5,0,20.3,NA,NA,NA
