"","AÑO / MES / DÍA","HORA","TEMPERATURA (°C)","PRECIPITACIÓN (mm/hora)","HUMEDAD (%)","DIRECCION DEL VIENTO (°)","VELOCIDAD DEL VIENTO (m/s)"
"1","2019/05/21","07:00","S/D",NA,"S/D","S/D","S/D"
"2","2019/05/21","15:00","22.3",NA,"68.72","159.2","3.3"
"3","2019/05/21","16:00","20.9",NA,"74.27","176.6","2.5"
"4","2019/05/21","17:00","19.8",NA,"77.43","178.6","2.0"
"5","2019/05/21","18:00","18.7",NA,"82.7","183.8","1.8"
"6","2019/05/21","19:00","18.4",NA,"84.5","186.2","1.5"
"7","2019/05/21","20:00","18.4",NA,"85","219.4","0.7"
"8","2019/05/21","21:00","18.4",NA,"85.1","181.4","1.1"
"9","2019/05/21","22:00","18.3",NA,"85.9","199","0.9"
"10","2019/05/21","23:00","18.1",NA,"87.4","195.1","0.4"
"11","2019/05/22","00:00","18.2",NA,"87.5","173.5","0.8"
"12","2019/05/22","01:00","17.9",NA,"88.6","193.9","0.7"
"13","2019/05/22","02:00","17.8",NA,"89.2","198.4","0.7"
"14","2019/05/22","03:00","17.8",NA,"89.1","274.5","0.7"
"15","2019/05/22","04:00","17.8",NA,"88.8","206.7","0.4"
"16","2019/05/22","05:00","18.0",NA,"87.7","206","0.2"
"17","2019/08/15","13:00","15.5",NA,"91.7","195.4","1.4"
"18","2019/08/15","14:00","15.0",NA,"94","188.6","1.8"
"19","2019/08/15","15:00","14.7",NA,"96.6","179.9","1.4"
"20","2019/08/15","16:00","14.5",NA,"97.8","174","1.4"
"21","2019/08/15","17:00","14.5",NA,"97.5","177","1.1"
"22","2019/08/15","18:00","14.2",NA,"98.5","177.3","0.8"
"23","2019/08/15","19:00","14.0",NA,"99.6","196.3","1.3"
"24","2019/08/15","20:00","13.8",NA,"99.5","187.1","1.2"
"25","2019/08/15","21:00","13.8",NA,"99.6","196.4","0.8"
"26","2019/08/15","22:00","13.7",NA,"99.6","206.5","0.5"
"27","2019/08/15","23:00","13.7",NA,"99.5","193.5","1.0"
"28","2019/08/16","00:00","13.7",NA,"99.5","190.1","1.0"
"29","2019/08/16","01:00","13.7",NA,"99.6","177.6","0.9"
"30","2019/08/16","02:00","13.7",NA,"99.7","200.4","0.5"
"31","2019/08/16","03:00","13.5",NA,"99.6","210.9","0.5"
"32","2019/08/16","04:00","13.5",NA,"99.6","187","1.0"
"33","2019/08/16","05:00","13.4",NA,"99.6","168.9","0.8"
"34","2019/08/16","06:00","13.5",NA,"99.6","181.6","0.5"
"35","2019/08/16","07:00","13.5",NA,"99.6","192.7","0.6"
"36","2019/08/16","08:00","13.6",NA,"99.6","207.9","0.5"
"37","2019/08/16","09:00","14.1",NA,"99.6","197.7","1.1"
"38","2019/08/16","10:00","14.6",NA,"99.5","175.6","1.0"
"39","2019/08/16","11:00","15.7",NA,"98.6","175.8","1.2"
"40","2019/08/16","12:00","16.9",NA,"87.2","186.6","1.1"
"41","2019/08/16","13:00","17.2",NA,"84.7","188","1.8"
"42","2019/08/16","14:00","17.1",NA,"85.1","206","1.6"
"43","2019/08/16","15:00","16.6",NA,"84.6","178.9","2.2"
"44","2019/08/16","16:00","16.2",NA,"84.3","177.7","2.1"
"45","2019/08/16","17:00","16.1",NA,"86","194.9","1.8"
"46","2019/08/16","18:00","15.5",NA,"89.8","201.5","1.6"
