"","AÑO / MES / DÍA","HORA","TEMPERATURA (°C)","PRECIPITACIÓN (mm/hora)","HUMEDAD (%)","DIRECCION DEL VIENTO (°)","VELOCIDAD DEL VIENTO (m/s)"
"1","2019/04/01","00:00","21.4",NA,"74.87","201.7","2.9"
"2","2019/04/01","01:00","20.5",NA,"79.26","206","2.8"
"3","2019/04/01","02:00","20.0",NA,"78.12","200.9","1.6"
"4","2019/04/01","03:00","20.0",NA,"80.3","186.8","0.4"
"5","2019/04/01","04:00","20.2",NA,"77.79","201.9","1.4"
"6","2019/04/01","05:00","20.0",NA,"81.3","215.5","0.7"
"7","2019/04/01","06:00","20.1",NA,"79.89","182.9","0.8"
"8","2019/04/01","07:00","20.2",NA,"80.3","190.6","0.7"
"9","2019/04/01","08:00","21.3",NA,"73.95","199.2","1.4"
"10","2019/04/01","09:00","21.1",NA,"75.35","239.9","2.6"
"11","2019/04/01","10:00","22.7",NA,"68.69","247","2.7"
"12","2019/04/01","11:00","24.0",NA,"61.75","245","2.0"
"13","2019/04/01","12:00","24.4",NA,"63","261.6","2.5"
"14","2019/04/01","13:00","25.1",NA,"55.8","227.3","2.8"
"15","2019/04/01","14:00","25.7",NA,"55.25","207.9","2.9"
"16","2019/04/01","15:00","25.4",NA,"56.76","213.3","3.5"
"17","2019/04/01","16:00","24.0",NA,"61.07","184.7","3.3"
"18","2019/04/01","17:00","22.5",NA,"65.6","201.8","3.3"
"19","2019/04/01","18:00","21.5",NA,"69.49","210.6","3.6"
"20","2019/04/01","19:00","20.9",NA,"76.12","209.5","3.1"
"21","2019/04/01","20:00","21.1",NA,"74.11","204","2.4"
"22","2019/04/01","21:00","21.0",NA,"74.51","217","2.0"
"23","2019/04/01","22:00","21.0",NA,"74.49","200.4","1.6"
"24","2019/04/01","23:00","20.9",NA,"75.37","190.6","1.3"
"25","2019/04/02","00:00","21.0",NA,"73.81","204.7","1.3"
"26","2019/04/02","01:00","20.8",NA,"75.43","200.9","1.4"
"27","2019/04/02","02:00","20.3",NA,"79.21","193.4","2.2"
"28","2019/04/02","03:00","20.1",NA,"81.5","207.7","1.7"
"29","2019/04/02","04:00","19.8",NA,"84.7","213.2","1.7"
"30","2019/04/02","05:00","19.2",NA,"87","204.6","1.9"
"31","2019/04/02","06:00","19.0",NA,"86","200.1","2.0"
"32","2019/04/02","07:00","19.2",NA,"84.8","171.8","0.9"
"33","2019/04/02","08:00","19.8",NA,"81.6","204.9","0.7"
"34","2019/04/02","09:00","20.9",NA,"78.95","55.89","0.6"
"35","2019/04/02","10:00","21.7",NA,"73.67","234.3","1.4"
"36","2019/04/02","11:00","24.3",NA,"65.52","242.4","0.9"
"37","2019/04/02","12:00","26.1",NA,"58.8","224.6","1.1"
