"","year","month","Precipitation_(mm/h)","Temperature_(C)","Wind_Speed_m/s","Wind_Direction_Degrees","Relative_Humidity_(%)","Date"
"1",2019,1,0.7,23.6989247311828,1.52806539509537,197.207084468665,81.7688172043011,2019-01-01
"2",2019,2,0,25.5535714285714,1.56158536585366,200.853658536585,78.5714285714286,2019-02-01
"3",2019,3,40.3,23.7947580645161,1.26931818181818,212.386363636364,78.9475806451613,2019-03-01
"4",2019,4,0,22.0209722222222,1.21011730205279,224.190615835777,82.9180555555556,2019-04-01
"5",2019,5,3.3,19.133064516129,1.01934566145092,215.110953058321,88.8494623655914,2019-05-01
"6",2019,6,1.4,16.6441823899371,0.87001675041876,207.778894472362,94.4292452830189,2019-06-01
"7",2019,7,2.1,15.6214626391097,1.14404567699837,196.388254486134,94.1955484896661,2019-07-01
"8",2019,8,6.5,15.3144,1.13908045977011,202.35632183908,92.784,2019-08-01
"9",2019,9,2.1,15.5481698389458,1.48700147710487,187.797636632201,91.311859443631,2019-09-01
"10",2019,10,0.9,16.6650537634409,1.40068119891008,204.523160762943,86.7795698924731,2019-10-01
"11",2019,11,1,19.5154166666667,1.53473389355742,192.614845938375,87.9583333333333,2019-11-01
"12",2019,12,0.8,21.3709677419355,1.42795115332429,194.791044776119,85.2002688172043,2019-12-01
"13",2020,1,8.5,23.4109607577808,1.65797503467406,191.083217753121,83.6874154262517,2020-01-01
"14",2020,2,0.7,24.4896825396825,1.31044045676998,201.680261011419,82.5825396825397,2020-02-01
"15",2020,3,1.3,24.8909959072306,1.3312693498452,202.012383900929,79.3601637107776,2020-03-01
"16",2020,4,147.1,22.753685674548,NA,NA,80.8873435326843,2020-04-01
"17",2020,5,5.7,19.6069892473118,NA,NA,86.1290322580645,2020-05-01
"18",2020,6,0.5,17.45625,NA,NA,89.5680555555556,2020-06-01
"19",2020,7,0.1,15.9961956521739,NA,NA,89.8709239130435,2020-07-01
"20",2020,8,0,16.0441527446301,NA,NA,88.5441527446301,2020-08-01
"21",2020,9,1,15.5450980392157,NA,NA,90.2352941176471,2020-09-01
"22",2020,10,NA,NA,NA,NA,NA,NA
"23",2020,11,0,18.3702127659574,NA,NA,84.0425531914894,2020-11-01
"24",2020,12,NA,NA,NA,NA,NA,NA
"25",2021,1,NA,NA,NA,NA,NA,NA
"26",2021,2,NA,NA,NA,NA,NA,NA
"27",2021,3,NA,NA,NA,NA,NA,NA
"28",2021,4,NA,NA,NA,NA,NA,NA
"29",2021,5,NA,NA,NA,NA,NA,NA
"30",2021,6,NA,NA,NA,NA,NA,NA
"31",2021,7,NA,NA,NA,NA,NA,NA
"32",2021,8,0.2,15.5173267326733,NA,NA,94.3019801980198,2021-08-01
"33",2021,9,0,15.593137254902,NA,NA,92.6442577030812,2021-09-01
"34",2021,10,0,16.4464122137405,NA,NA,89.7847328244275,2021-10-01
"35",2021,11,0,18.0624365482233,2.66666666666667,195,87.8020304568528,2021-11-01
"36",2021,12,0,20.204991087344,NA,NA,85.9055258467023,2021-12-01
"37",2022,1,0,22.5586776859504,NA,NA,81.704132231405,2022-01-01
"38",2022,2,1.1,22.722015503876,0.2,172,80.8232558139535,2022-02-01
"39",2022,3,0.2,22.6432795698925,0.25,180,80.2137096774194,2022-03-01
"40",2022,4,5.1,19.7938571428571,0.1,180,85.7342857142857,2022-04-01
"41",2022,5,7.4,17.5497797356828,NA,NA,88.5154185022026,2022-05-01
"42",2022,6,1.3,16.2178932178932,0.236111111111111,180,90.8861471861472,2022-06-01
"43",2022,7,4.2,15.4141823444284,0.922429906542056,224.976635514019,92.1562952243126,2022-07-01
"44",2022,8,3.3,14.9762942779292,0.965027322404372,217.729508196721,91.0911444141689,2022-08-01
"45",2022,9,14.2,15.3432721712538,1.03650306748466,217.736196319018,84.2030581039755,2022-09-01
"46",2022,10,0,15.7891428571429,1.09771428571429,219.172857142857,83.2457142857143,2022-10-01
"47",2022,11,0.4,18.4395833333333,1.08470097357441,213.162726008345,80.4694444444444,2022-11-01
"48",2022,12,152.6,21.2454301075269,1.15641025641026,208.983805668016,79.7876344086021,2022-12-01
"49",2023,1,22.2,22.1083333333333,0.864071038251366,216.241803278689,79.3521505376344,2023-01-01
"50",2023,2,102.6,24.7702380952381,1.07867867867868,204.785285285285,79.3511904761905,2023-02-01
"51",2023,3,5.1,25.3193724420191,0.893296089385475,206.850558659218,75.4079126875853,2023-03-01
"52",2023,4,0,25.2278335724534,1.24359712230216,190.056115107914,75.3787661406026,2023-04-01
"53",2023,5,2.9,21.8943548387097,1.18104838709677,178.883064516129,79.8508064516129,2023-05-01
"54",2023,6,0,21.1020202020202,1.22608695652174,178.130434782609,77.1298701298701,2023-06-01
"55",2023,7,0.2,20.4714090287278,1.1713698630137,182.208219178082,78.1354309165527,2023-07-01
"56",2023,8,0.7,20.2274147727273,1.16571834992888,183.24039829303,78.1803977272727,2023-08-01
"57",2023,9,3.7,18.9196605374823,1.02971428571429,200.265714285714,83.6605374823197,2023-09-01
"58",2023,10,0.1,19.148252688172,1.00135135135135,213.105405405405,84.8602150537634,2023-10-01
"59",2023,11,0.5,19.8887323943662,1.04346076458753,214.859154929577,81.2132796780684,2023-11-01
"60",2023,12,0,21.6690376569038,1.06549789621318,209.31556802244,78.8437935843794,2023-12-01
