"","AÑO / MES / DÍA","HORA","TEMPERATURA (°C)","PRECIPITACIÓN (mm/hora)","HUMEDAD (%)","DIRECCION DEL VIENTO (°)","VELOCIDAD DEL VIENTO (m/s)"
"1","2019/04/01","00:00","S/D","0.2",NA,"S/D","S/D"
"2","2019/04/01","01:00","S/D","0.0",NA,"S/D","S/D"
"3","2019/04/01","02:00","S/D","0.0",NA,"S/D","S/D"
"4","2019/04/01","03:00","S/D","0.0",NA,"S/D","S/D"
"5","2019/04/01","04:00","S/D","S/D",NA,"S/D","S/D"
"6","2019/04/01","05:00","S/D","0.1",NA,"S/D","S/D"
"7","2019/04/01","06:00","S/D","0.0",NA,"S/D","S/D"
"8","2019/04/01","07:00","S/D","0.0",NA,"S/D","S/D"
"9","2019/04/01","08:00","S/D","0.0",NA,"S/D","S/D"
"10","2019/04/01","09:00","S/D","0.0",NA,"S/D","S/D"
"11","2019/04/01","10:00","S/D","0.0",NA,"S/D","S/D"
"12","2019/04/01","11:00","S/D","0.0",NA,"S/D","S/D"
"13","2019/04/01","12:00","S/D","0.0",NA,"S/D","S/D"
"14","2019/04/01","13:00","S/D","0.0",NA,"S/D","S/D"
"15","2019/04/01","14:00","S/D","0.0",NA,"S/D","S/D"
"16","2019/04/01","15:00","S/D","0.0",NA,"S/D","S/D"
"17","2019/04/01","16:00","S/D","0.0",NA,"S/D","S/D"
"18","2019/04/01","17:00","S/D","0.0",NA,"S/D","S/D"
"19","2019/04/01","18:00","S/D","0.0",NA,"S/D","S/D"
"20","2019/04/01","19:00","S/D","0.0",NA,"S/D","S/D"
"21","2019/04/01","20:00","S/D","0.1",NA,"S/D","S/D"
"22","2019/04/01","21:00","S/D","0.1",NA,"S/D","S/D"
"23","2019/04/01","22:00","S/D","0.1",NA,"S/D","S/D"
"24","2019/04/01","23:00","S/D","0.1",NA,"S/D","S/D"
"25","2019/04/02","00:00","17.2","0.0",NA,"S/D","S/D"
"26","2019/04/02","01:00","17.0","0.0",NA,"S/D","S/D"
"27","2019/04/02","02:00","16.7","0.0",NA,"S/D","S/D"
"28","2019/04/02","03:00","16.7","0.0",NA,"S/D","S/D"
"29","2019/04/02","04:00","16.6","0.1",NA,"S/D","S/D"
"30","2019/04/02","05:00","16.5","0.0",NA,"S/D","S/D"
"31","2019/04/02","06:00","16.5","0.1",NA,"S/D","S/D"
"32","2019/04/02","07:00","16.5","0.1",NA,"S/D","S/D"
"33","2019/04/02","08:00","16.5","0.1",NA,"S/D","S/D"
"34","2019/04/02","09:00","16.7","0.0",NA,"S/D","S/D"
"35","2019/04/02","10:00","17.2","0.1",NA,"S/D","S/D"
"36","2019/04/02","11:00","17.6","0.0",NA,"S/D","S/D"
"37","2019/04/02","12:00","17.9","0.0",NA,"S/D","S/D"
"38","2019/04/02","13:00","16.0","0.0",NA,"238.4","0.8"
"39","2019/04/02","14:00","16.3","0.0",NA,"224.6","0.7"
"40","2019/04/02","15:00","16.1","0.0",NA,"219.5","0.6"
"41","2019/04/02","16:00","15.8","0.0",NA,"235","0.6"
"42","2019/04/02","17:00","15.4","0.0",NA,"234.8","0.6"
"43","2019/04/02","18:00","15.2","0.0",NA,"143.6","0.2"
"44","2019/04/02","19:00","14.9","0.0",NA,"167.4","0.4"
"45","2019/04/02","20:00","14.7","0.0",NA,"204.7","0.8"
"46","2019/04/02","21:00","14.5","0.0",NA,"81.8","0.2"
"47","2019/04/02","22:00","14.7","0.0",NA,"3.63","0.0"
"48","2019/04/02","23:00","15.1","0.0",NA,"265.2","0.6"
"49","2019/04/03","00:00","15.1","0.0",NA,"63.03","0.1"
"50","2019/04/03","01:00","15.0","0.0",NA,"85.1","0.3"
"51","2019/04/03","02:00","14.9","0.0",NA,"52.4","0.5"
"52","2019/04/03","03:00","14.8","0.0",NA,"100.8","0.5"
"53","2019/04/03","04:00","14.4","0.0",NA,"75.02","0.2"
"54","2019/04/03","05:00","14.5","0.0",NA,"101","0.5"
"55","2019/04/03","06:00","14.5","0.0",NA,"52.87","0.1"
"56","2019/04/03","07:00","14.5","0.0",NA,"222","0.3"
"57","2019/04/03","08:00","15.0","0.0",NA,"0","0.0"
"58","2019/04/03","09:00","15.2","0.0",NA,"85.9","0.2"
"59","2019/04/03","10:00","15.9","0.0",NA,"208.3","0.8"
"60","2019/04/03","11:00","16.0","0.0",NA,"207.6","0.7"
"61","2019/04/03","12:00","16.1","0.0",NA,"201.1","0.7"
"62","2019/04/03","13:00","16.3","0.0",NA,"277.9","0.9"
"63","2019/04/03","14:00","16.0","0.0",NA,"298.1","1.0"
"64","2019/04/03","15:00","15.8","0.0",NA,"248.1","0.7"
